line_name,from,to,cap
AT-CH,7,15,28800
AT-CZ,7,19,21600
AT-DE,7,3,60600
AT-HU,7,20,19200
AT-IT,7,8,8160
AT-SI,7,23,22800
BE-FR,1,2,62400
BE-NL,1,0,36024
BG-GR,24,27,16800
BG-RO,24,21,7200
BG-RS,24,26,7200
CH-DE,15,3,96000
CH-FR,15,2,76800
CH-IT,15,8,108768
CZ-DE,19,3,67200
CZ-PL,19,14,21600
CZ-SK,19,22,48000
DE-DK,3,4,50400
DE-FR,3,2,102120
DE-NL,3,0,91632
DE-PL,3,14,53544
DE-SE,3,12,14760
DK-NO,4,11,39168
DK-SE,4,12,59760
EE-FI,18,13,24384
EE-LV,18,17,21096
ES-FR,5,2,84000
ES-PT,5,6,93600
FI-NO,13,11,2880
FI-SE,13,12,64800
FR-GB,2,9,48000
FR-IT,2,8,83016
GB-IE,9,10,12720
GB-NL,9,0,24384
GR-IT,27,8,12000
HR-HU,25,20,28800
HR-RS,25,26,14400
HR-SI,25,23,36000
HU-RO,20,21,16800
HU-RS,20,26,24000
HU-SK,20,22,28800
IT-SI,8,23,19248
LT-LV,16,17,29616
LT-PL,16,14,11808
LT-SE,16,12,16800
NL-NO,0,11,16800
NO-SE,11,12,95880
PL-SE,14,12,14496
PL-SK,14,22,13200
RO-RS,21,26,19200
